,market_cap,name,price,supply,symbol,volume
0,91784284914.6,Bitcoin,$5204.11,17636900.0,BTC,"$14,719,413,060"
1,18591561411.5,Ethereum,$176.07,105593169.062,ETH,"$7,635,309,961"
2,14603212124.0,XRP,$0.349425,41792108527.0,XRP,"$1,076,793,423"
3,5316681644.61,Litecoin,$86.77,61270211.489,LTC,"$2,742,659,176"
4,5244493289.56,Bitcoin Cash,$295.97,17719712.5,BCH,"$1,312,946,108"
5,5036825681.36,EOS,$5.56,906245117.6,EOS,"$3,113,540,005"
6,2601230936.93,Binance Coin,$18.43,141175490.242,BNB,"$203,357,755"
7,2417133974.99,Stellar,$0.125362,19281265728.1,XLM,"$317,524,714"
8,2212629658.14,Tether,$1.01,2195136487.71,USDT,"$14,316,430,348"
9,2172140563.31,Cardano,$0.083779,25927070538.0,ADA,"$122,931,722"
10,1996445546.7,TRON,$0.029940,66682072191.4,TRX,"$612,750,111"
11,1393709980.05,Bitcoin SV,$78.66,17717710.917,BSV,"$134,528,590"
12,1157191557.5,Dash,$132.36,8742543.43706,DASH,"$262,467,451"
13,1155904802.38,Monero,$68.36,16908793.4069,XMR,"$90,475,865"
14,970418575.799,IOTA,$0.349130,2779530283.0,MIOTA,"$15,247,114"
15,790798500.323,NEO,$12.17,65000000.0,NEO,"$256,510,978"
16,765817586.336,Ethereum Classic,$6.99,109603151.0,ETC,"$605,274,952"
17,719313202.71,Ontology,$1.45,494823234.0,ONT,"$77,581,485"
18,715224443.326,Maker,$715.22,1000000.0,MKR,"$2,793,078"
19,653881490.357,NEM,$0.072653,8999999999.0,XEM,"$34,628,950"
20,625378181.994,Tezos,$0.941253,664410346.019,XTZ,"$5,213,797"
21,446468295.181,Zcash,$71.07,6282506.25,ZEC,"$272,052,193"
22,396605274.866,VeChain,$0.007152,55454734800.0,VET,"$14,325,488"
23,362834284.658,Basic Attenti...,$0.290449,1249216783.16,BAT,"$43,053,746"
24,342936447.257,Dogecoin,$0.002881,1.19016744807e+11,DOGE,"$53,203,882"
25,315939365.823,OmiseGO,$2.25,140245398.245,OMG,"$87,033,423"
26,309107102.722,Bitcoin Gold,$17.65,17513923.589,BTG,"$15,483,013"
27,296459563.351,Qtum,$3.32,89385996.0,QTUM,"$161,277,104"
28,281391086.026,Waves,$2.81,100000000.0,WAVES,"$46,376,606"
29,266417198.987,USD Coin,$1.00,266158129.838,USDC,"$40,377,302"
30,258465187.304,Crypto.com Chain,$0.056043,4611872146.12,CRO,"$579,024"
31,243471181.27,Decred,$25.36,9600623.25589,DCR,"$1,547,980"
32,233658914.489,Lisk,$2.01,116020858.822,LSK,"$6,252,711"
33,226645881.881,Augur,$20.60,11000000.0,REP,"$11,022,904"
34,226448396.583,Ravencoin,$0.068849,3289040000.0,RVN,"$24,215,529"
35,225012587.79,Nano,$1.69,133248289.197,NANO,"$35,805,205"
