,currency_change,market_cap,name,price,supply,symbol,volume
0,0.03,89619618453.3,Bitcoin,5079.0807773,17644850.0,BTC,10341772739.1
1,-0.20,17240482373.1,Ethereum,163.180531207,105652814.374,ETH,4798235714.66
2,-0.17,13611996188.4,XRP,0.325707332512,41792108527.0,XRP,812828477.384
3,-0.33,4897295423.34,Bitcoin Cash,276.255317585,17727425.0,BCH,1029090705.82
4,-0.29,4806934377.45,EOS,5.3042320274,906245117.6,EOS,1830611107.76
5,-0.26,4734832069.86,Litecoin,77.1993241215,61332558.5909,LTC,2206639565.55
6,-0.49,2700853038.56,Binance Coin,19.1311752056,141175490.242,BNB,186084814.933
7,0.05,2435078432.1,Tether,1.00686593617,2418473348.46,USDT,9964172956.81
8,-0.22,2210651456.15,Stellar,0.114524120116,19302933337.6,XLM,245315096.122
9,-0.55,2125402954.27,Cardano,0.0819762090421,25927070538.0,ADA,83487550.7495
10,-0.09,1758019260.76,TRON,0.0263641965972,66682072191.4,TRX,301849587.353
11,-0.24,1227720599.36,Bitcoin SV,69.2630151361,17725485.917,BSV,84222913.4569
12,-0.18,1092254942.43,Monero,64.5618502513,16917962.205,XMR,113901107.0
13,0.14,1048388898.57,Dash,119.815937758,8749995.35274,DASH,223038477.328
14,0.31,862492788.187,IOTA,0.310301633863,2779530283.0,MIOTA,21831859.2468
15,-0.30,708445012.86,NEO,10.899154044,65000000.0,NEO,195871045.499
16,-0.14,684766443.487,Ethereum Classic,6.24160695828,109709959.0,ETC,339375444.951
17,0.41,650049176.324,Tezos,0.981568599991,662255471.833,XTZ,3448291.2051
18,-0.28,643787884.02,Ontology,1.30096436176,494854358.0,ONT,47152600.1153
19,-1.82,612155504.554,Maker,612.155504554,1000000.0,MKR,1070550.6179
20,-0.09,592280403.685,NEM,0.0658089337501,8999999999.0,XEM,20796641.1444
21,0.75,431570052.102,Zcash,68.3525766504,6313881.25,ZEC,149279552.811
22,-0.33,402873243.194,Crypto.com Chain,0.0810558018001,4970319634.7,CRO,1901661.63796
23,-1.69,395659782.96,Basic Attenti...,0.316675578793,1249416783.16,BAT,45795710.5966
24,0.01,377077108.608,VeChain,0.00679972792166,55454734800.0,VET,10127981.1702
25,-0.24,339529798.789,Dogecoin,0.00285146293345,1.19072141814e+11,DOGE,33382476.6111
26,-0.05,280022428.109,Bitcoin Gold,15.9885605693,17513923.589,BTG,12543430.1604
27,-0.16,265428743.452,Waves,2.65428743452,100000000.0,WAVES,11439395.3486
28,0.28,265235540.846,OmiseGO,1.89122455471,140245398.245,OMG,62536513.7118
29,0.03,260177230.72,USD Coin,1.00277863768,259456295.68,USDC,34423453.1579
30,0.35,259747126.187,Qtum,2.90557559208,89396100.0,QTUM,116893665.914
31,-0.30,237690453.469,Decred,24.6996266798,9623240.72954,DCR,2643551.65849
32,0.26,227671427.724,Lisk,1.96041922375,116134051.822,LSK,5396552.28372
33,0.20,207881399.879,Augur,18.8983090799,11000000.0,REP,9081909.60205
34,-0.39,206914585.933,Ravencoin,0.0623169132062,3320360000.0,RVN,8886573.06334
35,-0.10,204637951.155,Nano,1.53576419171,133248289.197,NANO,6004825.63699
36,0.00,201292209.45,TrueUSD,1.00768082973,199757903.01,TUSD,50809090.3736
37,-0.26,182953673.12,0x,0.311298706657,587710996.568,ZRX,14303881.9984
38,0.69,182223120.726,Chainlink,0.520637487788,350000000.0,LINK,7595197.30294
39,-0.79,177219578.008,Zilliqa,0.0202436774164,8754317427.72,ZIL,8330201.64468
40,-0.41,176175695.19,ICON,0.372144500286,473406687.604,ICX,7788795.5672
41,0.14,167042851.138,Bytecoin,0.000907511973851,1.84066828814e+11,BCN,241703.445178
42,-0.37,166215814.559,BitShares,0.0613997268524,2707110000.0,BTS,5341556.79471
43,-0.14,162029373.485,IOST,0.0134867518986,12013965608.8,IOST,21254619.8769
44,0.47,161788863.904,Bitcoin Diamond,1.05223824238,153756875.0,BCD,5084769.90391
45,0.09,159798928.796,Holo,0.00119956039802,1.33214575156e+11,HOT,9084709.20215
46,-0.38,150170147.546,DigiByte,0.0128670929676,11670868309.2,DGB,976423.077578
47,0.30,141862547.912,Aeternity,0.547891083736,258924724.5,AE,40146820.3625
48,0.01,136335621.002,Verge,0.00858211648795,15886013804.8,XVG,1838539.36969
49,1.53,135806572.233,Pundi X,0.000697864396624,1.94603096088e+11,NPXS,4626786.33885
50,1.78,134618045.205,Steem,0.432149747574,311507864.948,STEEM,1193085.37312
51,-1.68,128765133.124,Enjin Coin,0.167857896973,767107985.064,ENJ,49371921.0398
52,-0.78,126866475.826,BitTorrent,0.000744429828637,1.70421e+11,BTT,143801952.269
53,0.63,124664152.289,Huobi Token,2.49327307268,50000200.0,HT,39841250.5978
54,0.28,123497787.042,Siacoin,0.00306676212644,40269763989.0,SC,1383435.87562
55,0.36,120588639.381,Komodo,1.07070868529,112625068.833,KMD,1745158.35554
56,0.00,119201329.092,Bytom,0.11890415491,1002499275.0,BTM,5473757.25518
57,4.62,118806914.194,Maximine Coin,0.0720478557876,1649000000.0,MXM,23325496.9336
58,0.48,109533995.925,Stratis,1.10319455922,99288013.1703,STRAT,1364973.76722
59,-1.63,109063539.697,Aurora,0.016670442675,6542330148.21,AOA,460415.62771
60,0.06,107680676.515,Paxos Standar...,1.00120424213,107551158.879,PAX,53876348.2956
61,0.89,106165454.688,KuCoin Shares,1.18040420104,89939916.0,KCS,2355874.12512
62,-0.47,103973513.477,THETA,0.119440772178,870502690.0,THETA,6972024.92111
63,-0.32,95555375.1688,ABBC Coin,0.208870877133,457485392.317,ABBC,43368459.7942
64,-0.50,92246607.0695,Digitex Futures,0.125080145179,737500000.0,DGTX,1645555.62407
65,-0.50,90514260.0866,Dai,0.973119588969,93014528.854,DAI,40993288.0346
66,0.32,90153808.7261,Mixin,204.792716554,440219.800016,XIN,892889.221975
67,0.37,89077328.5458,Status,0.0256671213546,3470483788.0,SNT,17074873.8395
68,0.14,86896019.5477,Waltonchain,2.11579455241,41070159.4107,WTC,9261288.13307
69,0.24,86331769.942,Golem,0.089590907993,963622000.0,GNT,1516562.6885
70,0.32,84196447.2471,Project Pai,0.0580522203239,1450357054.0,PAI,1961818.50051
71,0.00,81575935.4012,Factom,8.6477482545,9433199.603,FCT,68276.810167
72,2.36,81110577.5062,Ardor,0.0811918103184,998999495.0,ARDR,1010086.10192
73,-0.09,79509217.768,Populous,1.49306787504,53252245.9944,PPT,4490050.33301
74,-0.73,79097016.7269,Insight Chain,0.226054326517,349902689.082,INB,3903772.74285
75,1.44,78604484.9141,WAX,0.083382744715,942694860.702,WAX,521777.156633
76,0.25,77523278.6718,GXChain,1.29205464453,60000000.0,GXC,21649792.4717
77,0.22,76948076.8544,Cryptonex,1.381812705,55686328.9619,CNX,9623183.38848
78,0.07,72923105.3541,Qubitica,25.9391324533,2811316.27996,QBIT,40527.0087635
79,0.65,69430264.4366,Ark,0.633404916756,109614344.0,ARK,756147.087723
80,-0.18,63662801.2522,HyperCash,1.46251141143,43529780.8651,HC,2902319.76477
81,0.00,63659823.5149,ThoreCoin,734.372421451,86686.0215,THR,82200.3840523
82,0.02,62905682.1202,Nebulas,1.38254246418,45500000.0,NAS,6467901.11334
83,0.44,62723385.4834,Crypto.com,3.97138510006,15793831.095,MCO,5729742.94297
84,0.07,62394229.5913,Gemini Dollar,0.999975186964,62395777.82,GUSD,4227686.14971
85,-0.16,61853321.3881,Loopring,0.0746160866547,828954239.779,LRC,26537313.7012
86,-0.42,61635707.7938,VestChain,0.0087075762593,7078400000.0,VEST,171297.90319
87,0.15,61625466.2552,Revain,0.127207072464,484450000.0,R,754871.778105
88,0.05,60963990.7001,MaidSafeCoin,0.134711447964,452552412.0,MAID,235465.523371
89,-0.12,57661657.2088,Zcoin,7.93300020908,7268581.32978,XZC,576952.32375
90,0.21,57499286.7729,Elastos,3.786661542,15184691.3528,ELA,1547258.01965
91,0.21,57119038.9644,Decentraland,0.0543917543033,1050141509.43,MANA,7968194.96739
92,0.63,55607214.4368,NULS,0.803669370601,69191655.7616,NULS,4627121.50985
93,1.15,55232910.6405,Aion,0.183666354819,300724162.0,AION,5208030.23374
94,1.79,54337024.6595,WaykiChain,0.287497484971,189000000.0,WICC,2586201.85886
95,-0.88,54307515.27,TrueChain,0.733885342081,73999999.94,TRUE,54172870.4039
96,0.64,54018464.3485,Loom Network,0.0692813449957,779697108.245,LOOM,2821219.23962
97,-0.18,53289103.848,Electroneum,0.00574608631672,9273982483.16,ETN,201995.970259
98,0.84,53176559.1447,PIVX,0.93651756204,56781165.9921,PIVX,456867.269489
99,-1.61,51643007.174,Lambda,0.103286014348,500000000.0,LAMB,12360334.1012
100,-0.09,51544214.6615,REPO,0.4687601641,109958607.0,REPO,19428.8160815
101,-0.42,50785725.702,aelf,0.181377591793,280000000.0,ELF,8739366.1447
102,0.26,49342752.3418,QASH,0.140979292405,350000000.0,QASH,85609.9544724
103,2.21,48149459.3562,Power Ledger,0.118930995506,404852066.96,POWR,2749358.86026
104,-0.44,46705573.1619,ReddCoin,0.00162123080195,28808713173.8,RDD,121322.198387
105,1.77,45724955.1919,Kyber Network,0.274380767658,166647814.211,KNC,3370344.89193
106,0.07,45478318.8686,Horizen,7.3007256237,6229287.5,ZEN,1149875.26801
107,0.19,43766182.7899,Wanchain,0.412295384716,106152492.636,WAN,2440839.2838
108,-0.31,43602937.1156,Bibox Token,0.393036988704,110938508.0,BIX,9820213.54352
109,0.61,43512038.641,Nexo,0.0777000674756,560000011.0,NEXO,5035184.13012
